track_id,track_name,artists,track_genre,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
15p6y25P4twiG2oOpWfEK0,Hasta Que Ardan los Candiles,Carlos Gardel,tango,22,0.712,0.343,0.348,0.995,0.00028,0.13,0.703,-8.146,124.813
51qhR6wqpb6Gm2PSOwBPCF,Corneteiro Luís,BaianaSystem,dub,30,0.764,0.857,0.0323,0.289,0.0528,0.245,0.792,-4.618,126.009
4kD3hULynIfyLp6rIYxSAi,Dr Dream,Melorman,idm,12,0.616,0.336,0.0313,0.81,0.918,0.0994,0.0363,-15.378,105.021
2DhcpitZoR2mDalUWFUbBG,Silver Screen Shower Scene - Chuckie & Silvio Ecomo Dirty Acid Remix,Felix Da Housecat;Chuckie;Silvio Ecomo,chicago-house,16,0.766,0.722,0.0505,0.00106,0.49,0.0865,0.709,-5.652,124.978
6D33wCKzWtNEgOovgeVJ7r,Bella Luna,Jason Mraz,acoustic,1,0.755,0.454,0.0352,0.757,0.0,0.236,0.33,-9.609,120.06
0JQP1bwayX3SEgT9ggc31K,Hollow Talk,Josh Groban,opera,21,0.579,0.224,0.0315,0.514,0.0408,0.124,0.15,-13.55,124.035
46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Galantis,electro,75,0.506,0.805,0.0469,0.00711,0.00193,0.0856,0.383,-4.119,126.008
614GWtz7F9A61E9OPZqNkU,Temporary Love,Ben Platt,show-tunes,48,0.634,0.505,0.0341,0.506,1.8e-06,0.116,0.136,-7.753,89.045
1uekuY2LCOUwsHhh8oPTrB,敏感少女,オレンジスパイニクラブ,j-rock,33,0.342,0.909,0.207,0.0133,0.0,0.104,0.337,-3.426,145.486
41pfw6bbeD1KXXbU44wsws,Bumpin' Hard - Tuneboy Rmx,Ivan Carsten,hardstyle,21,0.597,0.824,0.0741,0.00463,0.894,0.0491,0.144,-4.053,150.004
7s5r0wxGA8YAG9LswkHreu,Good Love - Luciano's Good Love Remix,Kevin Saunderson;Inner City,detroit-techno,9,0.793,0.806,0.0522,0.000831,0.374,0.51,0.755,-11.473,125.011
2eZYhuwMD2SwQcxsxmY8TN,Talis,Peter Van Hoesen;Donato Dozzy,minimal-techno,19,0.788,0.829,0.0578,0.179,0.674,0.0836,0.777,-9.355,124.971
4n7jnSxVLd8QioibtTDBDq,On My Way,Alan Walker;Sabrina Carpenter;Farruko,house,74,0.509,0.689,0.102,0.0209,0.0,0.301,0.297,-4.929,170.087
1kqx2Z9AXjbUCbPkUVbIRM,Angst - RMX by twocolors,Rammstein;twocolors,industrial,58,0.554,0.885,0.0366,0.0016,0.36,0.164,0.117,-9.737,118.99
5ovqe99T1FShehFNSs9qgy,Dia Especial (Ao Vivo),Cidadão Quem,brazil,43,0.375,0.583,0.0288,0.545,1.74e-05,0.964,0.598,-8.364,89.428
